ID,answer
TG_C_J_20230331,6450.991976
TG_A_J_20230331,5911.792402
TG_B_J_20230331,5031.816304
TG_D_J_20230331,2592.094754
TG_E_J_20230331,2168.634834
TG_D_J_20230320,874.9787273
TG_D_J_20230327,1207.101112
TG_C_J_20230325,6310.317593
TG_B_J_20230330,4243.363271
TG_D_J_20230321,941.2129782
TG_D_J_20230314,669.8139266
TG_D_J_20230328,923.1142417
TG_C_S_20230325,5073.488807
TG_D_J_20230315,554.5204426
TG_D_J_20230322,738.7465187
TG_A_J_20230328,4887.103296
TG_E_J_20230323,1397.203789
TG_C_J_20230322,5512.044517
TG_C_J_20230318,6020.463012
TG_C_J_20230328,5300.498846
TG_C_S_20230318,4966.747177
TG_D_J_20230316,452.6908208
TG_E_J_20230325,1433.709155
TG_E_J_20230330,1229.474229
TG_D_S_20230329,4442.167446
TG_D_J_20230309,437.94657
TG_A_J_20230327,5003.572013
TG_D_J_20230308,546.9335276
TG_D_J_20230307,622.2749897
TG_C_J_20230311,4991.374772
TG_D_J_20230310,996.4044262
TG_D_J_20230313,825.1829519
TG_D_J_20230323,664.8857965
TG_D_J_20230306,980.5016434
TG_D_J_20230317,852.8927872
TG_D_J_20230329,1294.605475
TG_C_J_20230315,4669.542558
TG_D_S_20230320,4169.512402
TG_D_S_20230322,4259.144039
TG_B_J_20230321,3842.676372
TG_C_S_20230316,4876.772313
TG_D_S_20230310,4517.192016
TG_B_J_20230310,3666.480635
TG_C_J_20230308,4422.838958
TG_D_J_20230311,754.4782733
TG_D_S_20230313,3737.585995
TG_D_J_20230318,621.5371417
TG_E_J_20230329,1120.013319
TG_C_S_20230317,4986.864132
TG_B_S_20230331,5222.121518
TG_C_J_20230314,4445.97552
TG_B_J_20230329,2607.423249
TG_B_J_20230307,3314.520171
TG_A_J_20230307,3535.735286
TG_D_S_20230327,4510.663892
TG_A_J_20230329,4639.107788
TG_E_J_20230324,1351.724129
TG_B_J_20230308,3347.101894
TG_E_J_20230308,757.2675815
TG_A_J_20230310,3862.017952
TG_A_J_20230320,4311.548953
TG_A_J_20230313,3795.679902
TG_B_J_20230320,3730.521593
TG_C_J_20230329,5884.436256
TG_A_S_20230325,4893.626365
TG_A_J_20230311,3136.635233
TG_B_J_20230311,2843.274067
TG_C_J_20230307,4209.254159
TG_A_S_20230314,4543.367871
TG_D_S_20230321,4354.915158
TG_D_J_20230325,1867.535786
TG_E_J_20230328,1105.191921
TG_D_S_20230328,4485.368094
TG_C_S_20230311,4587.188208
TG_C_S_20230324,5235.645764
TG_C_J_20230304,4860.273256
TG_C_S_20230314,4539.133195
TG_D_S_20230315,3886.641662
TG_E_J_20230321,1085.894461
TG_C_J_20230324,6217.268787
TG_A_J_20230322,4316.152486
TG_B_S_20230314,4260.47945
TG_A_J_20230306,3197.671393
TG_A_J_20230325,4127.378571
TG_A_S_20230313,4459.027045
TG_C_J_20230309,4755.505654
TG_C_J_20230313,4348.843525
TG_D_S_20230331,4887.214294
TG_A_J_20230314,3727.626821
TG_B_J_20230324,3555.322581
TG_A_J_20230330,5589.12121
TG_B_S_20230318,4209.454072
TG_C_J_20230330,5728.791665
TG_E_J_20230310,1014.559743
TG_A_S_20230327,5295.917232
TG_D_S_20230307,4086.568927
TG_C_J_20230320,5443.338449
TG_B_J_20230325,2978.281214
TG_B_J_20230314,3273.245989
TG_E_J_20230322,1101.524646
