timestamp,price,year,month,day,week_day,year_month,week,week_num,holiday,item_BC,item_CB,item_CR,item_RD,item_TG,corporation_A,corporation_B,corporation_C,corporation_D,corporation_E,corporation_F,location_J,location_S
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2019-01-01,0,2019,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2019-01-02,0,2019,1,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2019-01-03,1692,2019,1,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2019-01-03,2048,2019,1,3,3,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2019-01-03,0,2019,1,3,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2019-01-03,2379,2019,1,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2019-01-03,1177,2019,1,3,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2019-01-03,478,2019,1,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2019-01-03,0,2019,1,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2019-01-03,1692,2019,1,3,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2019-01-03,1163,2019,1,3,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2019-01-03,2253,2019,1,3,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2019-01-03,0,2019,1,3,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2019-01-03,510,2019,1,3,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2019-01-03,382,2019,1,3,3,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2019-01-03,367,2019,1,3,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2019-01-03,396,2019,1,3,3,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2019-01-03,1616,2019,1,3,3,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
